Business Name,URL,Telephone,Street,City,State,Zip
"MACH 1 GLOBAL SERVICES","MACH1GLOBAL.COM","18005537774","1530 W BROADWAY RD","TEMPE","ARIZONA","85282"
"HMS GLOBAL MARITIME","HMSGM.COM","18129419990","115 E MARKET ST","NEW ALBANY","INDIANA","47150"
"KL FREIGHT MANAGEMENT","KANDLFREIGHT.COM","18007709007","745 N ROHLWING RD","ADDISON","ILLINOIS","60101"
"QUALITY SERVICES MOVING","QSMOVING.COM","17034958900","10595 FURNACE RD","LORTON","VIRGINIA","22079"
"INTELLIGENT LOGISTICS","INLOGISTICS.COM","18668495326","201 E HOWARD LN","AUSTIN","TEXAS","78753"
"ACE VAN  STORAGE COMPANY","MOVEINTERSTATE.COM","18007456683","5803 ROLLING RD","SPRINGFIELD","VIRGINIA","22152"
"JUNG EXPRESS","JUNGLOGISTICS.COM","18005974144","201 W AIR CARGO WAY","MILWAUKEE","WISCONSIN","53207"
"ATDYNAMICS","ATDYNAMICS.COM","18882838245","3150 CORPORATE PL","HAYWARD","CALIFORNIA","94545"
"INTEGRACORE","INTEGRACORE.COM","18002458142","750 MAXHAM RD","LITHIA SPRINGS","GEORGIA","30122"
"COYOTE LOGISTICS","COYOTE.COM","17733656020","2545 W DIVERSEY AVE","CHICAGO","ILLINOIS","60647"
"ARTUR EXPRESS","","","","","",""
"FULFILLMENT STRATEGIES INTERNATIONAL","FSIFULFILLMENT.COM","18009799012","7800 THE BLUFFS SW","AUSTELL","GEORGIA","30168"
"LIGHTEN THE LOAD","LIGHTENTHELOADINC.COM","16303508585","1299 E IRVING PARK RD","ITASCA","ILLINOIS","60143"
"MES","MESINC.NET","17402018112","625 BEAR RUN LN","LEWIS CENTER","OHIO","43035"
"THE LOGISTICS STORE","THELOGISTICSSTORE.COM","18167810450","26 WESTWOODS DR","LIBERTY","MISSOURI","64068"
"FREIGHTPROS","FREIGHTPROS.COM","18882976968","3307 NORTHLAND DR","AUSTIN","TEXAS","78731"
"CTG US","CTG.US","","","","",""
"MYUSCOM","MYUS.COM","19412274444","425 42ND AVE E","BRADENTON","FLORIDA","34238"
"PACIFIC LOGISTICS","PACIFIC-LOGISTICS.COM","18774224752","7255 ROSEMEAD BLVD","PICO RIVERA","CALIFORNIA","90660"
"R2 LOGISTICS","R2LOGISTICSTEAM.COM","19043452400","824 CHILDRENS WAY","JACKSONVILLE","FLORIDA","32207"
"PETRELOCATIONCOM","PETRELOCATION.COM","15123626100","612 BRAZOS ST","AUSTIN","TEXAS","78701"
"ETS INTERNATIONAL","ETSINTL.NET","18883663388","57 TEED DR","RANDOLPH","MASSACHUSETTS","02368"
"PROMOFILL","PROMOFILL.COM","18008151505","67 FAIRBANKS","IRVINE","CALIFORNIA","92618"
"JETPOOL","FLYJETPOOL.COM","18669810382","4690 FIRST FLIGHT DR","CHARLOTTE","NORTH CAROLINA","28208"
"A1 EXPRESS DELIVERY SERVICE","1-800COURIER.COM","18002687437","924 SAN RAFAEL AVE","MOUNTAIN VIEW","CALIFORNIA","94043"
"INFINITY PUBLISHING GROUP","USAUTOS.NET","13017026489","","","","03060"
"USA TRUCK BROKERS","USATRUCKBROKERS.COM","13058193000","7999 W 33RD LN","HIALEAH","FLORIDA","33018"
"FORTIS RIDERS","FORTISNET.COM","18642723400","200 N MAIN ST","GREENVILLE","SOUTH CAROLINA","29601"
"FREIGHTQUOTE","FREIGHTQUOTE.COM","18003235441","699 CARONDELET DR","KANSAS CITY","MISSOURI","64114"
"POWELL CHRISTENSEN","REPOWELL.NET","15092036908","501 E WINE COUNTRY RD","GRANDVIEW","WASHINGTON","98930"
"FST LOGISTICS","FSTLOGISTICS.COM","16145297900","5400 RENNER RD","COLUMBUS","OHIO","43228"
"FIFTH GEAR","INFIFTHGEAR.COM","18003834421","301 SONOCO DR","LOUISIANA","MISSOURI","63353"
"MAYOR LOGISTICS","MAYORUSA.COM","18779872226","698 TERMINAL WAY","SAN PEDRO","CALIFORNIA","90731"
"DESERT JET","DESERTJET.COM","17603991000","56850 HIGGINS DR","THERMAL","CALIFORNIA","92274"
"MEATHEAD MOVERS","","","","","",""
"HIREAHELPERCOM","HIREAHELPER.COM","18009955003","","OCEANSIDE","CALIFORNIA","92052"
"TEDDYS TRANSPORTATION SYSTEM","TEDDYSLIMO.COM","18008883339","25 VAN ZANT ST","NORWALK","CONNECTICUT","06855"
"TRANSIT SYSTEMS","TRANSITSYSTEMS.COM","18006261257","999 EAGLE RD","WAYNE","PENNSYLVANIA","19087"
"ACCESS WORLDWIDE","ACCESSWORLDWIDE.NET","18775648581","5192 SOUTHRIDGE PKWY","ATLANTA","GEORGIA","30349"
"POINT TO POINT TRANSPORTATION SERVICES","P2PTRANSPORTATION.COM","18006728002","","","",""
"BOLT EXPRESS","BOLT-EXPRESS.COM","18668732658","2205 PAGE RD","DURHAM","NORTH CAROLINA","27703"
"SUNSET TRANSPORTATION","ONTHEMOVE.SUNSETTRANS.COM","18008496540","11325 CONCORD VILLAGE AVE","SAINT LOUIS","MISSOURI","63123"
"US LOGISTICS","USLFREIGHT.COM","18002264054","7611 CHEVIOT RD","CINCINNATI","OHIO","45247"
"TRANSPORTATION INSIGHT","TRANSPORTATIONINSIGHT.COM","18772269950","328 1ST AVE NW","HICKORY","NORTH CAROLINA","28601"
"CRANE WORLDWIDE LOGISTICS","CRANEWW.COM","12027837971","1398 RANKIN RD","HOUSTON","TEXAS","77073"
"LIMOLINK","LIMOLINK.COM","18777985466","703 TAMA ST","CEDAR RAPIDS","IOWA","52302"
"GAZELLE TRANSPORTATION","GAZELLETRANS.COM","16613034664","3150 GARRITY WAY","SAN PABLO","CALIFORNIA","94806"
"AFS","AFS.NET","12146216530","330 MARSHALL ST","SHREVEPORT","LOUISIANA","71101"
"LOGOS LOGISTICS","LOGOSLOGISTICSINC.COM","17344031777","8923 INKSTER RD","TAYLOR","MICHIGAN","48180"
"TRANSEXPEDITE","TRANS-EXPEDITE.COM","18664809100","5801 WAYNE RD","ROMULUS","MICHIGAN","48174"
"BIRDDOG SOLUTIONS","BIRDDOG.COM","18004643137","10 NEW ENGLAND BUS CTR DR","ANDOVER","MASSACHUSETTS","01810"
"PATHMARK TRANSPORTATION","PATHMARKTRANS.COM","18008441555","2875 S MENDENHALL RD","MEMPHIS","TENNESSEE","38115"
"DAVIS TRANSPORTATION SERVICES","DAVISDRIVERS.COM","18663032847","2 AMY WAY","TAUNTON","MASSACHUSETTS","02780"
"SWISS TEKNIK","SWISSTEKNIK.COM","16022889080","","","",""
"TRANSPORTATION IMPACT","TRANSPORTATIONIMPACT.COM","12527642885","8002 EMERALD DR","EMERALD ISLE","NORTH CAROLINA","28594"
"LJM CONSULTANTS","MYLJM.COM","16318449500","","","",""
"US PERISHABLES","USPERISHABLES.COM","18662941189","7700 EDGEWATER DR","OAKLAND","CALIFORNIA","94621"
"TTS","TTS-US.COM","12147780800","2595 DALLAS PKWY","FRISCO","TEXAS","75034"
"LOGISTIC DYNAMICS","LOGISTICDYNAMICS.COM","18005543734","1140 WEHRLE DR","BUFFALO","NEW YORK","14221"
"OSM WORLDWIDE","OSMWORLDWIDE.COM","18666817867","651 SUPREME DR","BENSENVILLE","ILLINOIS","60106"
"ACCESS AMERICA TRANSPORT","","","","","",""
"ROCKFARM LOGISTICS","ROCKFARMLOGISTICS.COM","","","","",""
"LOAD DELIVERED LOGISTICS","LOADDELIVERED.COM","13126624722","12950 CULVER BLVD","LOS ANGELES","CALIFORNIA","90066"
"JARRETT LOGISTICS SYSTEMS","JARRETTLOGISTICS.COM","18668239954","6801 BRECKSVILLE RD","INDEPENDENCE","OHIO","44131"
"BARRETT DISTRIBUTION CENTERS","","","","","",""
"INTEGRITY EXPRESS LOGISTICS","","","","","",""
"VECTORA TRANSPORTATION","VECTORATRANSPORTATION.COM","13126467260","200 W MADISON ST","CHICAGO","ILLINOIS","60606"
"LTL FREIGHT SOURCE","LTLFREIGHTSOURCE.COM","","","","",""
"SOURCE LOGISTICS","SOURCELOGISTICS.NET","13238873884","","","",""
"ENGLAND LOGISTICS","ENGLANDLOGISTICS.COM","18003781990","2887 W 2100 S","SALT LAKE CITY","UTAH","84120"
"ENVISTA","","","","","",""
"FITZMARK","FITZMARK.COM","18669448717","4620 W 84TH ST","INDIANAPOLIS","INDIANA","46268"
"LOGISTICS PLANNING SERVICES","SHIPLPS.COM","18775397447","731 BIELENBERG DR","SAINT PAUL","MINNESOTA","55125"
"SCOTT SHELDON","SCOTT-SHELDON.COM","13309520103","3985 MEDINA RD","MEDINA","OHIO","44256"
"APOGEE JETS","APOGEEJETS.COM","13059137120","1111 BRICKELL AVE","MIAMI","FLORIDA","33131"
"ACT LOGISTICS GROUP","ACTLGI.COM","18164075713","","LIBERTY","MISSOURI","64069"
"ECOGISTICS","ECOGISTICS.ORG","16624207378","","ROCK ISLAND","ILLINOIS","61204"
"SOURCE CONSULTING","SOURCECONSULTING.COM","18007835753","2458 NEWPORT BLVD","COSTA MESA","CALIFORNIA","92627"
"US STORAGE SEARCH","USSTORAGESEARCH.COM","18668800742","24523 GOSLING RD","SPRING","TEXAS","77389"
"LOYAL LOGISTICS","LOYALLOGISTICSINC.COM","13237241515","1012 W BEVERLY BLVD","MONTEBELLO","CALIFORNIA","90640"
"QCS LOGISTICS","QCSLOGISTICS.COM","15049406262","","","",""
"SATURN FREIGHT SYSTEMS","SATURNFREIGHT.COM","17706935749","","MARIETTA","GEORGIA","30068"
"SADDLE CREEK LOGISTICS SERVICES","SCLOGISTICS.COM","18888781177","3010 SADDLE CREEK RD","LAKELAND","FLORIDA","33801"
"BEAVEX","BEAVEX.COM","14042600961","200 E SIDE AVE SE","ATLANTA","GEORGIA","30327"
"EXPRESS AIR FREIGHT UNLMITED","EXPRESSAIRFREIGHT.COM","","","","",""
"M33 INTEGRATED SOLUTIONS","M33INTEGRATED.COM","18666722862","329 BATTLEGROUND AVE","GREENSBORO","NORTH CAROLINA","27401"
